facility_name,facility_id,measure_name,number_of_discharges,excess_readmission_ratio,number_of_readmissions
JACKSON HOSPITAL & CLINIC INC,10024,READM-30-CABG-HRRP,159.0,1.13,26
JACKSON HOSPITAL & CLINIC INC,10024,READM-30-AMI-HRRP,249.0,1.1027,49
JACKSON HOSPITAL & CLINIC INC,10024,READM-30-HF-HRRP,511.0,1.1512,136
JACKSON HOSPITAL & CLINIC INC,10024,READM-30-COPD-HRRP,314.0,1.0003,60
JACKSON HOSPITAL & CLINIC INC,10024,READM-30-PN-HRRP,435.0,1.0908,86
EAST ALABAMA MEDICAL CENTER AND SNF,10029,READM-30-HIP-KNEE-HRRP,679.0,1.2778,39
EAST ALABAMA MEDICAL CENTER AND SNF,10029,READM-30-COPD-HRRP,470.0,0.9645,85
EAST ALABAMA MEDICAL CENTER AND SNF,10029,READM-30-AMI-HRRP,249.0,0.9787,35
EAST ALABAMA MEDICAL CENTER AND SNF,10029,READM-30-HF-HRRP,705.0,1.0423,156
EAST ALABAMA MEDICAL CENTER AND SNF,10029,READM-30-PN-HRRP,484.0,0.9749,74
UNIVERSITY OF ALABAMA HOSPITAL,10033,READM-30-AMI-HRRP,362.0,0.9955,63
UNIVERSITY OF ALABAMA HOSPITAL,10033,READM-30-HIP-KNEE-HRRP,184.0,1.1877,12
UNIVERSITY OF ALABAMA HOSPITAL,10033,READM-30-HF-HRRP,930.0,1.0758,230
UNIVERSITY OF ALABAMA HOSPITAL,10033,READM-30-COPD-HRRP,271.0,0.9835,52
UNIVERSITY OF ALABAMA HOSPITAL,10033,READM-30-CABG-HRRP,296.0,1.1316,52
UNIVERSITY OF ALABAMA HOSPITAL,10033,READM-30-PN-HRRP,571.0,1.0727,113
COMMUNITY HOSPITAL INC,10034,READM-30-HF-HRRP,83.0,0.9846,15
CULLMAN REGIONAL MEDICAL CENTER,10035,READM-30-PN-HRRP,549.0,1.1131,102
CULLMAN REGIONAL MEDICAL CENTER,10035,READM-30-AMI-HRRP,116.0,1.0264,19
CULLMAN REGIONAL MEDICAL CENTER,10035,READM-30-HF-HRRP,638.0,1.0564,139
CULLMAN REGIONAL MEDICAL CENTER,10035,READM-30-COPD-HRRP,332.0,1.0669,67
ANDALUSIA HEALTH,10036,READM-30-COPD-HRRP,258.0,1.0114,52
ANDALUSIA HEALTH,10036,READM-30-HF-HRRP,267.0,0.9556,53
ANDALUSIA HEALTH,10036,READM-30-PN-HRRP,270.0,0.9691,39
STRINGFELLOW MEMORIAL HOSPITAL,10038,READM-30-COPD-HRRP,255.0,0.909,32
STRINGFELLOW MEMORIAL HOSPITAL,10038,READM-30-HF-HRRP,124.0,1.0931,34
STRINGFELLOW MEMORIAL HOSPITAL,10038,READM-30-PN-HRRP,121.0,0.9638,15
HUNTSVILLE HOSPITAL,10039,READM-30-CABG-HRRP,461.0,0.9478,53
HUNTSVILLE HOSPITAL,10039,READM-30-AMI-HRRP,1147.0,0.9256,149
HUNTSVILLE HOSPITAL,10039,READM-30-COPD-HRRP,1334.0,1.098,290
HUNTSVILLE HOSPITAL,10039,READM-30-PN-HRRP,1678.0,1.0685,298
HUNTSVILLE HOSPITAL,10039,READM-30-HIP-KNEE-HRRP,1544.0,1.1987,74
HUNTSVILLE HOSPITAL,10039,READM-30-HF-HRRP,1800.0,0.9887,387
GADSDEN REGIONAL MEDICAL CENTER,10040,READM-30-AMI-HRRP,241.0,1.0978,49
GADSDEN REGIONAL MEDICAL CENTER,10040,READM-30-CABG-HRRP,108.0,0.9767,14
GADSDEN REGIONAL MEDICAL CENTER,10040,READM-30-COPD-HRRP,395.0,1.0499,89
GADSDEN REGIONAL MEDICAL CENTER,10040,READM-30-HF-HRRP,428.0,1.1439,127
GADSDEN REGIONAL MEDICAL CENTER,10040,READM-30-HIP-KNEE-HRRP,444.0,1.1188,24
GADSDEN REGIONAL MEDICAL CENTER,10040,READM-30-PN-HRRP,582.0,1.0505,112
MARION REGIONAL MEDICAL CENTER,10044,READM-30-COPD-HRRP,129.0,0.9815,20
MARION REGIONAL MEDICAL CENTER,10044,READM-30-PN-HRRP,179.0,0.9593,21
FAYETTE MEDICAL CENTER,10045,READM-30-COPD-HRRP,109.0,0.9977,20
FAYETTE MEDICAL CENTER,10045,READM-30-PN-HRRP,101.0,0.96,13
RIVERVIEW REGIONAL MEDICAL CENTER,10046,READM-30-COPD-HRRP,278.0,1.0408,61
RIVERVIEW REGIONAL MEDICAL CENTER,10046,READM-30-AMI-HRRP,78.0,1.1085,20
RIVERVIEW REGIONAL MEDICAL CENTER,10046,READM-30-HF-HRRP,376.0,1.0623,98
RIVERVIEW REGIONAL MEDICAL CENTER,10046,READM-30-PN-HRRP,394.0,1.1588,93
MEDICAL CENTER ENTERPRISE,10049,READM-30-PN-HRRP,151.0,1.0114,22
MEDICAL CENTER ENTERPRISE,10049,READM-30-COPD-HRRP,170.0,0.9372,21
MEDICAL CENTER ENTERPRISE,10049,READM-30-HF-HRRP,115.0,1.0643,29
LAKE MARTIN COMMUNITY HOSPITAL,10052,READM-30-PN-HRRP,100.0,1.0033,16
LAKE MARTIN COMMUNITY HOSPITAL,10052,READM-30-COPD-HRRP,72.0,1.0283,18
FLOWERS HOSPITAL,10055,READM-30-HIP-KNEE-HRRP,555.0,1.1033,25
FLOWERS HOSPITAL,10055,READM-30-COPD-HRRP,388.0,1.0496,81
FLOWERS HOSPITAL,10055,READM-30-AMI-HRRP,319.0,0.8552,30
FLOWERS HOSPITAL,10055,READM-30-HF-HRRP,546.0,0.9799,111
FLOWERS HOSPITAL,10055,READM-30-PN-HRRP,531.0,1.0014,82
ST VINCENT'S BIRMINGHAM,10056,READM-30-COPD-HRRP,306.0,0.9815,56
ST VINCENT'S BIRMINGHAM,10056,READM-30-HF-HRRP,466.0,0.9354,87
ST VINCENT'S BIRMINGHAM,10056,READM-30-PN-HRRP,594.0,1.0024,94
ST VINCENT'S BIRMINGHAM,10056,READM-30-AMI-HRRP,233.0,0.9942,36
ST VINCENT'S BIRMINGHAM,10056,READM-30-HIP-KNEE-HRRP,1611.0,1.0877,64
ST VINCENT'S BIRMINGHAM,10056,READM-30-CABG-HRRP,102.0,1.1132,17
BIBB MEDICAL CENTER,10058,READM-30-PN-HRRP,75.0,1.0106,13
LAWRENCE MEDICAL CENTER,10059,READM-30-COPD-HRRP,75.0,1.0821,22
LAWRENCE MEDICAL CENTER,10059,READM-30-PN-HRRP,81.0,0.9869,14
HIGHLANDS MEDICAL CENTER,10061,READM-30-COPD-HRRP,241.0,0.9465,36
HIGHLANDS MEDICAL CENTER,10061,READM-30-HF-HRRP,104.0,0.9121,13
HIGHLANDS MEDICAL CENTER,10061,READM-30-PN-HRRP,152.0,0.982,22
WIREGRASS MEDICAL CENTER,10062,READM-30-PN-HRRP,130.0,0.9979,19
WIREGRASS MEDICAL CENTER,10062,READM-30-COPD-HRRP,79.0,0.9847,13
RUSSELL MEDICAL CENTER,10065,READM-30-HF-HRRP,233.0,1.038,54
RUSSELL MEDICAL CENTER,10065,READM-30-PN-HRRP,235.0,0.9935,37
RUSSELL MEDICAL CENTER,10065,READM-30-COPD-HRRP,163.0,0.9896,31
MEDICAL CENTER BARBOUR,10069,READM-30-PN-HRRP,102.0,1.0534,19
MEDICAL CENTER BARBOUR,10069,READM-30-HF-HRRP,69.0,1.017,16
MEDICAL CENTER BARBOUR,10069,READM-30-COPD-HRRP,66.0,1.0347,14
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,READM-30-PN-HRRP,432.0,0.9557,64
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,READM-30-AMI-HRRP,352.0,0.9491,52
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,READM-30-HIP-KNEE-HRRP,311.0,1.3095,21
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,READM-30-COPD-HRRP,536.0,1.067,110
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,READM-30-HF-HRRP,497.0,1.0085,108
ATHENS LIMESTONE HOSPITAL,10079,READM-30-COPD-HRRP,218.0,0.9424,31
ATHENS LIMESTONE HOSPITAL,10079,READM-30-HF-HRRP,199.0,1.0977,52
ATHENS LIMESTONE HOSPITAL,10079,READM-30-PN-HRRP,239.0,0.9263,29
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,READM-30-HF-HRRP,333.0,1.1672,97
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,READM-30-PN-HRRP,419.0,0.9837,63
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,READM-30-COPD-HRRP,282.0,0.9784,51
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,READM-30-HIP-KNEE-HRRP,247.0,1.046,11
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,READM-30-PN-HRRP,647.0,0.9379,96
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,READM-30-COPD-HRRP,519.0,0.9973,94
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,READM-30-HIP-KNEE-HRRP,290.0,1.3844,24
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,READM-30-AMI-HRRP,52.0,1.0788,14
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,READM-30-HF-HRRP,558.0,1.0099,126
NORTHWEST MEDICAL CENTER,10086,READM-30-COPD-HRRP,170.0,0.9562,24
NORTHWEST MEDICAL CENTER,10086,READM-30-PN-HRRP,132.0,0.9687,16
WALKER BAPTIST MEDICAL CENTER,10089,READM-30-COPD-HRRP,281.0,1.044,57
WALKER BAPTIST MEDICAL CENTER,10089,READM-30-HF-HRRP,200.0,1.0001,44
WALKER BAPTIST MEDICAL CENTER,10089,READM-30-PN-HRRP,254.0,0.9773,37
PROVIDENCE HOSPITAL,10090,READM-30-AMI-HRRP,236.0,1.083,39
PROVIDENCE HOSPITAL,10090,READM-30-PN-HRRP,508.0,0.9512,69
PROVIDENCE HOSPITAL,10090,READM-30-COPD-HRRP,378.0,0.9644,67
PROVIDENCE HOSPITAL,10090,READM-30-CABG-HRRP,133.0,1.066,20
PROVIDENCE HOSPITAL,10090,READM-30-HF-HRRP,573.0,0.867,94
D C H REGIONAL MEDICAL CENTER,10092,READM-30-PN-HRRP,1175.0,0.995,199
D C H REGIONAL MEDICAL CENTER,10092,READM-30-HF-HRRP,1053.0,1.075,262
D C H REGIONAL MEDICAL CENTER,10092,READM-30-COPD-HRRP,972.0,0.9413,183
D C H REGIONAL MEDICAL CENTER,10092,READM-30-HIP-KNEE-HRRP,699.0,1.2086,39
D C H REGIONAL MEDICAL CENTER,10092,READM-30-AMI-HRRP,425.0,1.0406,73
D W MCMILLAN MEMORIAL HOSPITAL,10099,READM-30-PN-HRRP,157.0,1.0076,22
D W MCMILLAN MEMORIAL HOSPITAL,10099,READM-30-HF-HRRP,96.0,1.0351,21
THOMAS HOSPITAL,10100,READM-30-AMI-HRRP,226.0,1.0455,37
THOMAS HOSPITAL,10100,READM-30-CABG-HRRP,198.0,1.1193,31
THOMAS HOSPITAL,10100,READM-30-COPD-HRRP,160.0,0.9679,27
THOMAS HOSPITAL,10100,READM-30-HF-HRRP,341.0,0.9408,66
THOMAS HOSPITAL,10100,READM-30-HIP-KNEE-HRRP,530.0,1.0158,22
THOMAS HOSPITAL,10100,READM-30-PN-HRRP,406.0,0.9415,58
CITIZENS BAPTIST MEDICAL CENTER,10101,READM-30-COPD-HRRP,75.0,0.9751,11
CITIZENS BAPTIST MEDICAL CENTER,10101,READM-30-PN-HRRP,83.0,1.0454,17
CITIZENS BAPTIST MEDICAL CENTER,10101,READM-30-HF-HRRP,97.0,0.9786,18
PRINCETON BAPTIST MEDICAL CENTER,10103,READM-30-AMI-HRRP,229.0,0.9786,33
PRINCETON BAPTIST MEDICAL CENTER,10103,READM-30-CABG-HRRP,137.0,1.0831,20
PRINCETON BAPTIST MEDICAL CENTER,10103,READM-30-COPD-HRRP,231.0,0.9992,45
PRINCETON BAPTIST MEDICAL CENTER,10103,READM-30-HF-HRRP,389.0,1.0629,97
PRINCETON BAPTIST MEDICAL CENTER,10103,READM-30-PN-HRRP,266.0,1.0434,54
GRANDVIEW MEDICAL CENTER,10104,READM-30-HIP-KNEE-HRRP,804.0,1.4544,54
GRANDVIEW MEDICAL CENTER,10104,READM-30-AMI-HRRP,298.0,1.0379,51
GRANDVIEW MEDICAL CENTER,10104,READM-30-PN-HRRP,490.0,1.0755,95
GRANDVIEW MEDICAL CENTER,10104,READM-30-COPD-HRRP,267.0,1.0355,60
GRANDVIEW MEDICAL CENTER,10104,READM-30-CABG-HRRP,126.0,1.056,18
GRANDVIEW MEDICAL CENTER,10104,READM-30-HF-HRRP,606.0,0.9688,128
PRATTVILLE BAPTIST HOSPITAL,10108,READM-30-COPD-HRRP,255.0,0.9747,47
PRATTVILLE BAPTIST HOSPITAL,10108,READM-30-HF-HRRP,208.0,0.9721,43
PRATTVILLE BAPTIST HOSPITAL,10108,READM-30-PN-HRRP,259.0,1.011,44
WHITFIELD REGIONAL HOSPITAL,10112,READM-30-HF-HRRP,56.0,1.0231,12
MOBILE INFIRMARY MEDICAL CENTER,10113,READM-30-CABG-HRRP,103.0,1.2123,20
MOBILE INFIRMARY MEDICAL CENTER,10113,READM-30-COPD-HRRP,468.0,1.0581,104
MOBILE INFIRMARY MEDICAL CENTER,10113,READM-30-AMI-HRRP,227.0,1.0425,39
MOBILE INFIRMARY MEDICAL CENTER,10113,READM-30-PN-HRRP,683.0,1.0305,121
MOBILE INFIRMARY MEDICAL CENTER,10113,READM-30-HF-HRRP,711.0,1.0701,165
MOBILE INFIRMARY MEDICAL CENTER,10113,READM-30-HIP-KNEE-HRRP,574.0,0.8813,17
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,READM-30-COPD-HRRP,168.0,0.9482,26
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,READM-30-PN-HRRP,285.0,0.8941,34
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,READM-30-HF-HRRP,137.0,1.0278,35
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,10118,READM-30-COPD-HRRP,116.0,0.9817,19
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,10118,READM-30-PN-HRRP,221.0,0.9543,32
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,10118,READM-30-HF-HRRP,223.0,1.0919,56
MONROE COUNTY HOSPITAL,10120,READM-30-PN-HRRP,106.0,1.0003,15
MONROE COUNTY HOSPITAL,10120,READM-30-COPD-HRRP,52.0,1.0205,11
MONROE COUNTY HOSPITAL,10120,READM-30-HF-HRRP,73.0,1.0119,14
LAKELAND COMMUNITY HOSPITAL,10125,READM-30-COPD-HRRP,347.0,0.8708,38
LAKELAND COMMUNITY HOSPITAL,10125,READM-30-PN-HRRP,485.0,0.8796,49
TROY REGIONAL MEDICAL CENTER,10126,READM-30-COPD-HRRP,84.0,1.0316,16
TROY REGIONAL MEDICAL CENTER,10126,READM-30-PN-HRRP,106.0,1.0387,19
TROY REGIONAL MEDICAL CENTER,10126,READM-30-HF-HRRP,66.0,1.0114,13
JACKSON MEDICAL CENTER,10128,READM-30-PN-HRRP,71.0,1.0323,11
JACKSON MEDICAL CENTER,10128,READM-30-HF-HRRP,38.0,1.0657,11
NORTH BALDWIN INFIRMARY,10129,READM-30-PN-HRRP,110.0,1.0528,23
NORTH BALDWIN INFIRMARY,10129,READM-30-HF-HRRP,56.0,1.0185,13
ST VINCENT'S ST CLAIR,10130,READM-30-COPD-HRRP,139.0,1.0097,27
ST VINCENT'S ST CLAIR,10130,READM-30-HF-HRRP,93.0,1.0055,19
ST VINCENT'S ST CLAIR,10130,READM-30-PN-HRRP,244.0,0.9035,27
CRESTWOOD MEDICAL CENTER,10131,READM-30-COPD-HRRP,346.0,1.0242,64
CRESTWOOD MEDICAL CENTER,10131,READM-30-AMI-HRRP,168.0,1.055,29
CRESTWOOD MEDICAL CENTER,10131,READM-30-HIP-KNEE-HRRP,863.0,1.1767,43
CRESTWOOD MEDICAL CENTER,10131,READM-30-PN-HRRP,540.0,0.9931,82
CRESTWOOD MEDICAL CENTER,10131,READM-30-HF-HRRP,341.0,0.935,60
BROOKWOOD BAPTIST MEDICAL CENTER,10139,READM-30-CABG-HRRP,130.0,1.2769,25
BROOKWOOD BAPTIST MEDICAL CENTER,10139,READM-30-AMI-HRRP,207.0,1.0171,31
BROOKWOOD BAPTIST MEDICAL CENTER,10139,READM-30-COPD-HRRP,272.0,1.0097,54
BROOKWOOD BAPTIST MEDICAL CENTER,10139,READM-30-PN-HRRP,370.0,1.0482,63
BROOKWOOD BAPTIST MEDICAL CENTER,10139,READM-30-HIP-KNEE-HRRP,490.0,1.169,24
BROOKWOOD BAPTIST MEDICAL CENTER,10139,READM-30-HF-HRRP,293.0,0.9519,55
SPRINGHILL MEDICAL CENTER,10144,READM-30-AMI-HRRP,132.0,1.0288,20
SPRINGHILL MEDICAL CENTER,10144,READM-30-COPD-HRRP,238.0,1.1502,58
SPRINGHILL MEDICAL CENTER,10144,READM-30-HF-HRRP,450.0,1.1039,108
SPRINGHILL MEDICAL CENTER,10144,READM-30-PN-HRRP,331.0,1.0845,58
EVERGREEN MEDICAL CENTER,10148,READM-30-COPD-HRRP,200.0,0.9718,27
EVERGREEN MEDICAL CENTER,10148,READM-30-PN-HRRP,174.0,1.1539,40
EVERGREEN MEDICAL CENTER,10148,READM-30-HF-HRRP,111.0,1.0637,25
BAPTIST MEDICAL CENTER EAST,10149,READM-30-COPD-HRRP,212.0,0.9908,42
BAPTIST MEDICAL CENTER EAST,10149,READM-30-HF-HRRP,262.0,0.9404,50
BAPTIST MEDICAL CENTER EAST,10149,READM-30-PN-HRRP,296.0,0.9985,47
THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,10150,READM-30-HF-HRRP,57.0,1.0675,16
SHOALS HOSPITAL,10157,READM-30-COPD-HRRP,96.0,1.0471,19
SHOALS HOSPITAL,10157,READM-30-PN-HRRP,110.0,1.0501,19
RUSSELLVILLE HOSPITAL,10158,READM-30-PN-HRRP,179.0,1.027,29
RUSSELLVILLE HOSPITAL,10158,READM-30-COPD-HRRP,160.0,1.0358,32
RUSSELLVILLE HOSPITAL,10158,READM-30-HF-HRRP,70.0,1.0097,16
COOSA VALLEY MEDICAL CENTER,10164,READM-30-COPD-HRRP,101.0,0.9816,15
COOSA VALLEY MEDICAL CENTER,10164,READM-30-HF-HRRP,143.0,1.025,30
COOSA VALLEY MEDICAL CENTER,10164,READM-30-PN-HRRP,196.0,1.0021,28
JACK HUGHSTON MEMORIAL HOSPITAL,10168,READM-30-HIP-KNEE-HRRP,1245.0,0.8712,38
ATMORE COMMUNITY HOSPITAL,10169,READM-30-COPD-HRRP,64.0,0.9879,11
ATMORE COMMUNITY HOSPITAL,10169,READM-30-HF-HRRP,75.0,1.0627,21
ATMORE COMMUNITY HOSPITAL,10169,READM-30-PN-HRRP,95.0,1.0245,17
PROVIDENCE ALASKA MEDICAL CENTER,20001,READM-30-AMI-HRRP,486.0,0.8467,52
PROVIDENCE ALASKA MEDICAL CENTER,20001,READM-30-COPD-HRRP,291.0,0.9997,54
PROVIDENCE ALASKA MEDICAL CENTER,20001,READM-30-HF-HRRP,506.0,0.9493,100
PROVIDENCE ALASKA MEDICAL CENTER,20001,READM-30-HIP-KNEE-HRRP,431.0,0.9262,13
PROVIDENCE ALASKA MEDICAL CENTER,20001,READM-30-PN-HRRP,386.0,0.9761,58
MAT-SU REGIONAL MEDICAL CENTER,20006,READM-30-AMI-HRRP,85.0,0.9809,11
MAT-SU REGIONAL MEDICAL CENTER,20006,READM-30-COPD-HRRP,176.0,0.9716,30
MAT-SU REGIONAL MEDICAL CENTER,20006,READM-30-HF-HRRP,147.0,0.9455,27
MAT-SU REGIONAL MEDICAL CENTER,20006,READM-30-PN-HRRP,324.0,0.9998,50
FAIRBANKS MEMORIAL HOSPITAL,20012,READM-30-HF-HRRP,131.0,0.9627,24
FAIRBANKS MEMORIAL HOSPITAL,20012,READM-30-COPD-HRRP,106.0,0.9623,14
FAIRBANKS MEMORIAL HOSPITAL,20012,READM-30-PN-HRRP,129.0,0.9501,14
ALASKA REGIONAL HOSPITAL,20017,READM-30-COPD-HRRP,107.0,1.0525,26
ALASKA REGIONAL HOSPITAL,20017,READM-30-AMI-HRRP,165.0,0.9543,20
ALASKA REGIONAL HOSPITAL,20017,READM-30-PN-HRRP,214.0,0.8615,18
ALASKA REGIONAL HOSPITAL,20017,READM-30-HF-HRRP,185.0,0.9818,40
ALASKA REGIONAL HOSPITAL,20017,READM-30-HIP-KNEE-HRRP,800.0,0.9921,28
CENTRAL PENINSULA GENERAL HOSPITAL,20024,READM-30-COPD-HRRP,118.0,0.9914,23
CENTRAL PENINSULA GENERAL HOSPITAL,20024,READM-30-HIP-KNEE-HRRP,184.0,1.2304,12
CENTRAL PENINSULA GENERAL HOSPITAL,20024,READM-30-HF-HRRP,122.0,1.0826,32
CENTRAL PENINSULA GENERAL HOSPITAL,20024,READM-30-PN-HRRP,164.0,1.0149,25
ALASKA NATIVE MEDICAL CENTER,20026,READM-30-COPD-HRRP,166.0,0.995,32
ALASKA NATIVE MEDICAL CENTER,20026,READM-30-HF-HRRP,148.0,1.0675,40
ALASKA NATIVE MEDICAL CENTER,20026,READM-30-PN-HRRP,229.0,0.9255,30
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,30002,READM-30-COPD-HRRP,133.0,1.0044,27
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,30002,READM-30-AMI-HRRP,266.0,0.9743,36
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,30002,READM-30-HF-HRRP,366.0,0.9283,74
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,30002,READM-30-PN-HRRP,254.0,0.9546,39
TUCSON MEDICAL CENTER,30006,READM-30-HF-HRRP,798.0,1.0158,165
TUCSON MEDICAL CENTER,30006,READM-30-PN-HRRP,607.0,0.984,88
TUCSON MEDICAL CENTER,30006,READM-30-AMI-HRRP,382.0,0.9975,54
TUCSON MEDICAL CENTER,30006,READM-30-COPD-HRRP,361.0,0.9748,61
TUCSON MEDICAL CENTER,30006,READM-30-CABG-HRRP,164.0,0.9026,16
TUCSON MEDICAL CENTER,30006,READM-30-HIP-KNEE-HRRP,1369.0,0.788,33
VERDE VALLEY MEDICAL CENTER,30007,READM-30-COPD-HRRP,156.0,0.9436,21
VERDE VALLEY MEDICAL CENTER,30007,READM-30-PN-HRRP,467.0,0.8825,54
VERDE VALLEY MEDICAL CENTER,30007,READM-30-HF-HRRP,234.0,0.8471,30
ST. MARY'S HOSPITAL,30010,READM-30-AMI-HRRP,189.0,0.9773,24
ST. MARY'S HOSPITAL,30010,READM-30-COPD-HRRP,133.0,0.9419,19
ST. MARY'S HOSPITAL,30010,READM-30-HF-HRRP,176.0,0.9171,28
ST. MARY'S HOSPITAL,30010,READM-30-PN-HRRP,287.0,0.9914,45
ST JOSEPH'S HOSPITAL,30011,READM-30-COPD-HRRP,387.0,1.0225,77
ST JOSEPH'S HOSPITAL,30011,READM-30-AMI-HRRP,194.0,0.8837,18
ST JOSEPH'S HOSPITAL,30011,READM-30-PN-HRRP,463.0,0.9496,63
ST JOSEPH'S HOSPITAL,30011,READM-30-HF-HRRP,323.0,0.8563,47
ST JOSEPH'S HOSPITAL,30011,READM-30-HIP-KNEE-HRRP,520.0,0.8561,15
