"Fiscal Year","Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","MORT-30-AMI Achievement Threshold","MORT-30-AMI Benchmark","MORT-30-AMI Baseline Rate","MORT-30-AMI Performance Rate","MORT-30-AMI Achievement Points","MORT-30-AMI Improvement Points","MORT-30-AMI Measure Score","MORT-30-COPD Achievement Threshold","MORT-30-COPD Benchmark","MORT-30-COPD Baseline Rate","MORT-30-COPD Performance Rate","MORT-30-COPD Achievement Points","MORT-30-COPD Improvement Points","MORT-30-COPD Measure Score","MORT-30-HF Achievement Threshold","MORT-30-HF Benchmark","MORT-30-HF Baseline Rate","MORT-30-HF Performance Rate","MORT-30-HF Achievement Points","MORT-30-HF Improvement Points","MORT-30-HF Measure Score","MORT-30-PN Achievement Threshold","MORT-30-PN Benchmark","MORT-30-PN Baseline Rate","MORT-30-PN Performance Rate","MORT-30-PN Achievement Points","MORT-30-PN Improvement Points","MORT-30-PN Measure Score","COMP-HIP-KNEE Achievement Threshold","COMP-HIP-KNEE Benchmark","COMP-HIP-KNEE Baseline Rate","COMP-HIP-KNEE Performance Rate","COMP-HIP-KNEE Achievement Points","COMP-HIP-KNEE Improvement Points","COMP-HIP-KNEE Measure Score"
"2021","010036",ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET",ANDALUSIA,AL,"36420",Covington,"0.860355","0.879714",Not Available,"0.876361","8 out of 10",Not Available,"8 out of 10","0.923253","0.938664","0.912036","0.930155","5 out of 10","6 out of 9","6 out of 10","0.883803","0.906144","0.876513","0.914253","10 out of 10","9 out of 9","10 out of 10","0.836122","0.870506","0.841564","0.859436","7 out of 10","6 out of 9","7 out of 10","0.031157","0.022418","0.030681","0.026975","5 out of 10","4 out of 9","5 out of 10"
"2021","010038",STRINGFELLOW MEMORIAL HOSPITAL,"301 EAST 18TH ST",ANNISTON,AL,"36201",Calhoun,"0.860355","0.879714","0.850643","0.875863","8 out of 10","8 out of 9","8 out of 10","0.923253","0.938664","0.928598","0.921681","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.890157","0.878558","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.846596","0.845186","3 out of 10","0 out of 9","3 out of 10","0.031157","0.022418","0.033245","0.035533","0 out of 10","0 out of 9","0 out of 10"
"2021","010039",HUNTSVILLE HOSPITAL,"101 SIVLEY RD",HUNTSVILLE,AL,"35801",Madison,"0.860355","0.879714","0.863336","0.870309","5 out of 10","4 out of 9","5 out of 10","0.923253","0.938664","0.918960","0.899109","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.886173","0.875678","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.811798","0.816220","0 out of 10","0 out of 9","0 out of 10","0.031157","0.022418","0.026740","0.018884","10 out of 10","9 out of 9","10 out of 10"
"2021","010040",GADSDEN REGIONAL MEDICAL CENTER,"1007 GOODYEAR AVENUE",GADSDEN,AL,"35903",Etowah,"0.860355","0.879714","0.845962","0.881522","10 out of 10","9 out of 9","10 out of 10","0.923253","0.938664","0.928154","0.923702","1 out of 10","0 out of 9","1 out of 10","0.883803","0.906144","0.867847","0.886288","2 out of 10","4 out of 9","4 out of 10","0.836122","0.870506","0.809415","0.820132","0 out of 10","1 out of 9","1 out of 10","0.031157","0.022418","0.047723","0.037932","0 out of 10","3 out of 9","3 out of 10"
"2021","010045",FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH",FAYETTE,AL,"35555",Fayette,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.935175","0.908558","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.892819","0.880766","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.827268","0.840232","2 out of 10","2 out of 9","2 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010046",RIVERVIEW REGIONAL MEDICAL CENTER,"600 SOUTH THIRD STREET",GADSDEN,AL,"35901",Etowah,"0.860355","0.879714","0.840391","0.874593","7 out of 10","8 out of 9","8 out of 10","0.923253","0.938664","0.912945","0.924916","1 out of 10","4 out of 9","4 out of 10","0.883803","0.906144","0.884760","0.907780","10 out of 10","9 out of 9","10 out of 10","0.836122","0.870506","0.826818","0.836091","0 out of 10","2 out of 9","2 out of 10","0.031157","0.022418","0.034716","0.025141","7 out of 10","7 out of 9","7 out of 10"
"2021","010049",MEDICAL CENTER ENTERPRISE,"400 N EDWARDS STREET",ENTERPRISE,AL,"36330",Coffee,"0.860355","0.879714","0.844553",Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.895019","0.906217","0 out of 10","2 out of 9","2 out of 10","0.883803","0.906144","0.856347","0.875331","0 out of 10","3 out of 9","3 out of 10","0.836122","0.870506","0.799010","0.821645","0 out of 10","3 out of 9","3 out of 10","0.031157","0.022418","0.023853","0.023820","8 out of 10","0 out of 9","8 out of 10"
"2021","010052",LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD",DADEVILLE,AL,"36853",Tallapoosa,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.927949","0.921405","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.892004",Not Available,Not Available,Not Available,Not Available,"0.836122","0.870506","0.833521","0.846092","3 out of 10","3 out of 9","3 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010055",FLOWERS HOSPITAL,"4370 WEST MAIN STREET",DOTHAN,AL,"36305",Houston,"0.860355","0.879714","0.846535","0.859279","0 out of 10","3 out of 9","3 out of 10","0.923253","0.938664","0.900504","0.890459","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.856221","0.853021","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.851011","0.811978","0 out of 10","0 out of 9","0 out of 10","0.031157","0.022418","0.031226","0.030593","1 out of 10","0 out of 9","1 out of 10"
"2021","010056",ST VINCENT'S BIRMINGHAM,"810 ST VINCENT'S DRIVE",BIRMINGHAM,AL,"35205",Jefferson,"0.860355","0.879714","0.856747","0.880897","10 out of 10","9 out of 9","10 out of 10","0.923253","0.938664","0.909846","0.930231","5 out of 10","7 out of 9","7 out of 10","0.883803","0.906144","0.873803","0.890310","3 out of 10","5 out of 9","5 out of 10","0.836122","0.870506","0.861993","0.852601","5 out of 10","0 out of 9","5 out of 10","0.031157","0.022418","0.027585","0.023518","8 out of 10","7 out of 9","8 out of 10"
"2021","010061",HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD",SCOTTSBORO,AL,"35768",Jackson,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.922172","0.915453","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.886518","0.864915","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.838734","0.851961","5 out of 10","4 out of 9","5 out of 10","0.031157","0.022418","0.033757","0.024634","7 out of 10","8 out of 9","8 out of 10"
"2021","010062",WIREGRASS MEDICAL CENTER,"1200 W MAPLE AVENUE",GENEVA,AL,"36340",Geneva,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.913293","0.919686","0 out of 10","2 out of 9","2 out of 10","0.883803","0.906144","0.851408","0.891116","3 out of 10","7 out of 9","7 out of 10","0.836122","0.870506","0.830801","0.836189","1 out of 10","1 out of 9","1 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010065",RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280",ALEXANDER CITY,AL,"35010",Tallapoosa,"0.860355","0.879714","0.847775","0.874046","7 out of 10","8 out of 9","8 out of 10","0.923253","0.938664","0.926320","0.904238","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.879423","0.867004","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.807554","0.836651","1 out of 10","4 out of 9","4 out of 10","0.031157","0.022418","0.033811","0.023431","8 out of 10","9 out of 9","9 out of 10"
"2021","010069",MEDICAL CENTER BARBOUR,"820 W WASHINGTON ST",EUFAULA,AL,"36027",Barbour,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.925887","0.904244","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.892133","0.883303","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.829881","0.870926","10 out of 10","9 out of 9","10 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010073",CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9    P O BOX 1270",ASHLAND,AL,"36251",Clay,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.925262","0.909582","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.861610","0.881903","0 out of 10","4 out of 9","4 out of 10","0.836122","0.870506","0.829035","0.852626","5 out of 10","5 out of 9","5 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010078",NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"400 EAST 10TH STREET",ANNISTON,AL,"36207",Calhoun,"0.860355","0.879714","0.849444","0.869086","5 out of 10","6 out of 9","6 out of 10","0.923253","0.938664","0.942628","0.919733","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.872837","0.875229","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.817087","0.834349","0 out of 10","3 out of 9","3 out of 10","0.031157","0.022418","0.037958","0.026294","6 out of 10","7 out of 9","7 out of 10"
"2021","010079",ATHENS LIMESTONE HOSPITAL,"700 WEST MARKET STREET",ATHENS,AL,"35611",Limestone,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.916491","0.917318","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.890044","0.884664","1 out of 10","0 out of 9","1 out of 10","0.836122","0.870506","0.818529","0.810443","0 out of 10","0 out of 9","0 out of 10","0.031157","0.022418","0.027651","0.029903","2 out of 10","0 out of 9","2 out of 10"
"2021","010083",SOUTH BALDWIN REGIONAL MEDICAL CENTER,"1613 NORTH MCKENZIE STREET",FOLEY,AL,"36535",Baldwin,"0.860355","0.879714","0.863444","0.865194","3 out of 10","1 out of 9","3 out of 10","0.923253","0.938664","0.927307","0.912403","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.885579","0.893248","4 out of 10","3 out of 9","4 out of 10","0.836122","0.870506","0.857124","0.848137","4 out of 10","0 out of 9","4 out of 10","0.031157","0.022418","0.024907","0.025297","7 out of 10","0 out of 9","7 out of 10"
"2021","010085",DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,"1201 7TH STREET SE",DECATUR,AL,"35601",Morgan,"0.860355","0.879714","0.855914","0.872514","6 out of 10","6 out of 9","6 out of 10","0.923253","0.938664","0.937494","0.925711","2 out of 10","0 out of 9","2 out of 10","0.883803","0.906144","0.877217","0.873595","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.802208","0.837076","1 out of 10","5 out of 9","5 out of 10","0.031157","0.022418","0.040370","0.027445","4 out of 10","7 out of 9","7 out of 10"
"2021","010086",NORTHWEST MEDICAL CENTER,"1530 U S HIGHWAY 43",WINFIELD,AL,"35594",Fayette,"0.860355","0.879714","0.868597",Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.935674","0.915368","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.901777","0.856035","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.847505","0.861943","7 out of 10","6 out of 9","7 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010087",UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,"2451 FILLINGIM STREET",MOBILE,AL,"36617",Mobile,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664",Not Available,Not Available,Not Available,Not Available,Not Available,"0.883803","0.906144",Not Available,"0.893950","5 out of 10",Not Available,"5 out of 10","0.836122","0.870506",Not Available,Not Available,Not Available,Not Available,Not Available,"0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010089",WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78 EAST",JASPER,AL,"35502",Walker,"0.860355","0.879714","0.879512",Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.916517","0.899128","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.874356","0.855671","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.807457","0.801578","0 out of 10","0 out of 9","0 out of 10","0.031157","0.022418","0.025976","0.020730","10 out of 10","9 out of 9","10 out of 10"
"2021","010090",PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD",MOBILE,AL,"36608",Mobile,"0.860355","0.879714","0.841088","0.870256","5 out of 10","7 out of 9","7 out of 10","0.923253","0.938664","0.910673","0.907961","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.865659","0.856213","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.835156","0.853867","5 out of 10","5 out of 9","5 out of 10","0.031157","0.022418","0.034737","0.021054","10 out of 10","9 out of 9","10 out of 10"
"2021","010092",D C H REGIONAL MEDICAL CENTER,"809 UNIVERSITY BOULEVARD EAST",TUSCALOOSA,AL,"35401",Tuscaloosa,"0.860355","0.879714","0.855838","0.872393","6 out of 10","6 out of 9","6 out of 10","0.923253","0.938664","0.923934","0.911767","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.867005","0.870174","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.820277","0.846770","3 out of 10","5 out of 9","5 out of 10","0.031157","0.022418","0.040493","0.029134","3 out of 10","6 out of 9","6 out of 10"
"2021","010099",D W MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE",BREWTON,AL,"36426",Escambia,"0.860355","0.879714","0.847363",Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.914696","0.910192","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.877190","0.885415","1 out of 10","2 out of 9","2 out of 10","0.836122","0.870506","0.796907","0.869315","9 out of 10","9 out of 9","9 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010100",THOMAS HOSPITAL,"750 MORPHY AVENUE",FAIRHOPE,AL,"36532",Baldwin,"0.860355","0.879714","0.841645","0.882294","10 out of 10","9 out of 9","10 out of 10","0.923253","0.938664","0.912825","0.914307","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.872049","0.865554","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.843204","0.803022","0 out of 10","0 out of 9","0 out of 10","0.031157","0.022418","0.045677","0.033330","0 out of 10","5 out of 9","5 out of 10"
"2021","010103",PRINCETON BAPTIST MEDICAL CENTER,"701 PRINCETON AVENUE SOUTHWEST",BIRMINGHAM,AL,"35211",Jefferson,"0.860355","0.879714","0.838419","0.873074","6 out of 10","8 out of 9","8 out of 10","0.923253","0.938664","0.919340","0.906216","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.861897","0.867633","0 out of 10","1 out of 9","1 out of 10","0.836122","0.870506","0.797122","0.836739","1 out of 10","5 out of 9","5 out of 10","0.031157","0.022418","0.021763","0.024720","7 out of 10","0 out of 9","7 out of 10"
"2021","010104",GRANDVIEW MEDICAL CENTER,"3690 GRANDVIEW PARKWAY",BIRMINGHAM,AL,"35243",Jefferson,"0.860355","0.879714","0.862725","0.880942","10 out of 10","9 out of 9","10 out of 10","0.923253","0.938664","0.903113","0.911833","0 out of 10","2 out of 9","2 out of 10","0.883803","0.906144","0.874553","0.878587","0 out of 10","1 out of 9","1 out of 10","0.836122","0.870506","0.807280","0.834602","0 out of 10","4 out of 9","4 out of 10","0.031157","0.022418","0.043274","0.028344","3 out of 10","7 out of 9","7 out of 10"
"2021","010108",PRATTVILLE BAPTIST HOSPITAL,"124 S MEMORIAL DR",PRATTVILLE,AL,"36067",Autauga,"0.860355","0.879714","0.865410","0.872844","6 out of 10","5 out of 9","6 out of 10","0.923253","0.938664","0.939103","0.935131","7 out of 10","0 out of 9","7 out of 10","0.883803","0.906144","0.898681","0.913661","10 out of 10","9 out of 9","10 out of 10","0.836122","0.870506","0.808465","0.874863","10 out of 10","9 out of 9","10 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010112",BRYAN W. WHITFIELD MEMORIAL HOSPITAL,"105 HIGHWAY 80 EAST",DEMOPOLIS,AL,"36732",Marengo,"0.860355","0.879714",Not Available,Not Available,Not Available,Not Available,Not Available,"0.923253","0.938664","0.930574","0.902545","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.885989","0.892134","4 out of 10","3 out of 9","4 out of 10","0.836122","0.870506","0.829739","0.837583","1 out of 10","1 out of 9","1 out of 10","0.031157","0.022418",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010113",MOBILE INFIRMARY MEDICAL CENTER,"5 MOBILE INFIRMARY CIRCLE",MOBILE,AL,"36652",Mobile,"0.860355","0.879714","0.846762","0.880023","10 out of 10","9 out of 9","10 out of 10","0.923253","0.938664","0.914184","0.913563","0 out of 10","0 out of 9","0 out of 10","0.883803","0.906144","0.881675","0.870287","0 out of 10","0 out of 9","0 out of 10","0.836122","0.870506","0.825945","0.801123","0 out of 10","0 out of 9","0 out of 10","0.031157","0.022418","0.039455","0.030444","1 out of 10","5 out of 9","5 out of 10"
"2021","010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST",BESSEMER,AL,"35021",Jefferson,"0.860355","0.879714","0.866455","0.874721","7 out of 10","6 out of 9","7 out of 10","0.923253","0.938664","0.935922","0.923898","1 out of 10","0 out of 9","1 out of 10","0.883803","0.906144","0.899693","0.888680","2 out of 10","0 out of 9","2 out of 10","0.836122","0.870506","0.812875","0.823696","0 out of 10","1 out of 9","1 out of 10","0.031157","0.022418","0.039571","0.038103","0 out of 10","0 out of 9","0 out of 10"
