"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
ST. VINCENT'S EAST,010011,AL,READM-30-HF-HRRP,434,,0.9291,19.9873,21.5125,82,07/01/2016,06/30/2019
ST. VINCENT'S EAST,010011,AL,READM-30-CABG-HRRP,82,,1.2155,17.3204,14.2492,19,07/01/2016,06/30/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-PN-HRRP,380,,0.9623,14.3659,14.9291,52,07/01/2016,06/30/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-COPD-HRRP,176,,1.0069,16.1528,16.0420,29,07/01/2016,06/30/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-AMI-HRRP,84,,1.0634,14.9279,14.0384,16,07/01/2016,06/30/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HF-HRRP,176,,1.0652,20.9891,19.7053,41,07/01/2016,06/30/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-CABG-HRRP,N/A,,0.8760,10.1742,11.6140,Too Few to Report,07/01/2016,06/30/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9995,4.2221,4.2241,Too Few to Report,07/01/2016,06/30/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-COPD-HRRP,217,,1.0063,19.1044,18.9847,42,07/01/2016,06/30/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-AMI-HRRP,179,,0.9052,14.3356,15.8363,20,07/01/2016,06/30/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-PN-HRRP,359,,1.0528,16.8358,15.9911,64,07/01/2016,06/30/2019
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HF-HRRP,329,,0.9727,22.1377,22.7584,71,07/01/2016,06/30/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-COPD-HRRP,419,,1.0663,18.0389,16.9167,81,07/01/2016,06/30/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-PN-HRRP,397,,0.9689,14.3916,14.8534,55,07/01/2016,06/30/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-HF-HRRP,375,,0.9281,19.1377,20.6203,67,07/01/2016,06/30/2019
HELEN KELLER HOSPITAL,010019,AL,READM-30-HIP-KNEE-HRRP,398,,1.1959,4.4483,3.7197,21,07/01/2016,06/30/2019
DALE MEDICAL CENTER,010021,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
DALE MEDICAL CENTER,010021,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
DALE MEDICAL CENTER,010021,AL,READM-30-COPD-HRRP,98,,0.9481,16.8065,17.7273,12,07/01/2016,06/30/2019
DALE MEDICAL CENTER,010021,AL,READM-30-PN-HRRP,97,,0.9938,14.8665,14.9596,14,07/01/2016,06/30/2019
DALE MEDICAL CENTER,010021,AL,READM-30-HF-HRRP,80,,1.0011,21.1624,21.1395,17,07/01/2016,06/30/2019
DALE MEDICAL CENTER,010021,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-COPD-HRRP,N/A,,0.9681,15.4548,15.9636,Too Few to Report,07/01/2016,06/30/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-PN-HRRP,N/A,,1.0074,14.7878,14.6792,Too Few to Report,07/01/2016,06/30/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-AMI-HRRP,331,,1.0627,17.6468,16.6053,62,07/01/2016,06/30/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HIP-KNEE-HRRP,547,,0.9461,3.8425,4.0612,20,07/01/2016,06/30/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-CABG-HRRP,N/A,,0.9434,10.7747,11.4213,Too Few to Report,07/01/2016,06/30/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HF-HRRP,577,,0.9656,21.5416,22.3096,122,07/01/2016,06/30/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-COPD-HRRP,231,,1.0529,23.0818,21.9220,58,07/01/2016,06/30/2019
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-PN-HRRP,216,,1.0365,17.8136,17.1871,41,07/01/2016,06/30/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9313,3.5093,3.7681,Too Few to Report,07/01/2016,06/30/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-CABG-HRRP,159,,1.1300,14.5128,12.8428,26,07/01/2016,06/30/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-AMI-HRRP,249,,1.1027,17.3860,15.7671,49,07/01/2016,06/30/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HF-HRRP,511,,1.1512,24.7724,21.5179,136,07/01/2016,06/30/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-COPD-HRRP,314,,1.0003,19.0994,19.0933,60,07/01/2016,06/30/2019
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-PN-HRRP,435,,1.0908,18.3587,16.8307,86,07/01/2016,06/30/2019
EAST ALABAMA MEDICAL CENTER AND SNF,010029,AL,READM-30-HIP-KNEE-HRRP,679,,1.2778,5.0757,3.9722,39,07/01/2016,06/30/2019
EAST ALABAMA MEDICAL CENTER AND SNF,010029,AL,READM-30-CABG-HRRP,N/A,,0.8483,9.9141,11.6865,Too Few to Report,07/01/2016,06/30/2019
EAST ALABAMA MEDICAL CENTER AND SNF,010029,AL,READM-30-COPD-HRRP,470,,0.9645,18.7526,19.4433,85,07/01/2016,06/30/2019
EAST ALABAMA MEDICAL CENTER AND SNF,010029,AL,READM-30-AMI-HRRP,249,,0.9787,14.5463,14.8636,35,07/01/2016,06/30/2019
EAST ALABAMA MEDICAL CENTER AND SNF,010029,AL,READM-30-HF-HRRP,705,,1.0423,21.7462,20.8630,156,07/01/2016,06/30/2019
EAST ALABAMA MEDICAL CENTER AND SNF,010029,AL,READM-30-PN-HRRP,484,,0.9749,15.6485,16.0507,74,07/01/2016,06/30/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-AMI-HRRP,362,,0.9955,17.4760,17.5542,63,07/01/2016,06/30/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HIP-KNEE-HRRP,184,,1.1877,4.7810,4.0253,12,07/01/2016,06/30/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HF-HRRP,930,,1.0758,24.2055,22.5004,230,07/01/2016,06/30/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-COPD-HRRP,271,,0.9835,19.7262,20.0565,52,07/01/2016,06/30/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-CABG-HRRP,296,,1.1316,16.5462,14.6217,52,07/01/2016,06/30/2019
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-PN-HRRP,571,,1.0727,18.9167,17.6353,113,07/01/2016,06/30/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HF-HRRP,83,,0.9846,19.2535,19.5537,15,07/01/2016,06/30/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-COPD-HRRP,N/A,,0.9542,16.7869,17.5923,Too Few to Report,07/01/2016,06/30/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-PN-HRRP,N/A,,1.0061,14.5664,14.4784,Too Few to Report,07/01/2016,06/30/2019
COMMUNITY HOSPITAL INC,010034,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-PN-HRRP,549,,1.1131,17.2303,15.4792,102,07/01/2016,06/30/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9550,4.0243,4.2137,Too Few to Report,07/01/2016,06/30/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-AMI-HRRP,116,,1.0264,15.1065,14.7183,19,07/01/2016,06/30/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HF-HRRP,638,,1.0564,21.2332,20.1000,139,07/01/2016,06/30/2019
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-COPD-HRRP,332,,1.0669,18.5208,17.3587,67,07/01/2016,06/30/2019
ANDALUSIA HEALTH,010036,AL,READM-30-AMI-HRRP,N/A,,0.9878,21.7934,22.0635,Too Few to Report,07/01/2016,06/30/2019
ANDALUSIA HEALTH,010036,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ANDALUSIA HEALTH,010036,AL,READM-30-COPD-HRRP,258,,1.0114,19.7688,19.5454,52,07/01/2016,06/30/2019
ANDALUSIA HEALTH,010036,AL,READM-30-HF-HRRP,267,,0.9556,20.9525,21.9250,53,07/01/2016,06/30/2019
ANDALUSIA HEALTH,010036,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0688,4.9601,4.6410,Too Few to Report,07/01/2016,06/30/2019
ANDALUSIA HEALTH,010036,AL,READM-30-PN-HRRP,270,,0.9691,15.2384,15.7241,39,07/01/2016,06/30/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-AMI-HRRP,N/A,,0.9664,15.7149,16.2610,Too Few to Report,07/01/2016,06/30/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-COPD-HRRP,255,,0.9090,15.6716,17.2409,32,07/01/2016,06/30/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-HF-HRRP,124,,1.0931,22.7148,20.7797,34,07/01/2016,06/30/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.2539,4.9319,3.9332,Too Few to Report,07/01/2016,06/30/2019
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-PN-HRRP,121,,0.9638,14.4509,14.9941,15,07/01/2016,06/30/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-CABG-HRRP,461,,0.9478,11.7666,12.4141,53,07/01/2016,06/30/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-AMI-HRRP,1147,,0.9256,13.3677,14.4426,149,07/01/2016,06/30/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-COPD-HRRP,1334,,1.0980,21.1223,19.2377,290,07/01/2016,06/30/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-PN-HRRP,1678,,1.0685,17.4830,16.3622,298,07/01/2016,06/30/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HIP-KNEE-HRRP,1544,,1.1987,4.5766,3.8179,74,07/01/2016,06/30/2019
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HF-HRRP,1800,,0.9887,21.5411,21.7873,387,07/01/2016,06/30/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-AMI-HRRP,241,,1.0978,18.0588,16.4503,49,07/01/2016,06/30/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-CABG-HRRP,108,,0.9767,13.4826,13.8045,14,07/01/2016,06/30/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-COPD-HRRP,395,,1.0499,21.4305,20.4117,89,07/01/2016,06/30/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HF-HRRP,428,,1.1439,27.5027,24.0434,127,07/01/2016,06/30/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HIP-KNEE-HRRP,444,,1.1188,4.9348,4.4107,24,07/01/2016,06/30/2019
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-PN-HRRP,582,,1.0505,18.6421,17.7457,112,07/01/2016,06/30/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-COPD-HRRP,129,,0.9815,16.7096,17.0246,20,07/01/2016,06/30/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-PN-HRRP,179,,0.9593,13.2731,13.8360,21,07/01/2016,06/30/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HF-HRRP,N/A,,0.9020,16.0657,17.8114,Too Few to Report,07/01/2016,06/30/2019
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HF-HRRP,N/A,,0.9509,20.5855,21.6493,Too Few to Report,07/01/2016,06/30/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-COPD-HRRP,109,,0.9977,18.5276,18.5698,20,07/01/2016,06/30/2019
FAYETTE MEDICAL CENTER,010045,AL,READM-30-PN-HRRP,101,,0.9600,15.6349,16.2862,13,07/01/2016,06/30/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-COPD-HRRP,278,,1.0408,20.6796,19.8698,61,07/01/2016,06/30/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-AMI-HRRP,78,,1.1085,17.9573,16.1992,20,07/01/2016,06/30/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9770,5.1668,5.2886,Too Few to Report,07/01/2016,06/30/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HF-HRRP,376,,1.0623,24.9772,23.5130,98,07/01/2016,06/30/2019
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-PN-HRRP,394,,1.1588,20.9223,18.0552,93,07/01/2016,06/30/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-PN-HRRP,151,,1.0114,14.0695,13.9113,22,07/01/2016,06/30/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-COPD-HRRP,170,,0.9372,15.4985,16.5375,21,07/01/2016,06/30/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HF-HRRP,115,,1.0643,21.7236,20.4112,29,07/01/2016,06/30/2019
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8630,3.4377,3.9833,Too Few to Report,07/01/2016,06/30/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-PN-HRRP,100,,1.0033,15.7764,15.7246,16,07/01/2016,06/30/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-COPD-HRRP,72,,1.0283,21.5716,20.9787,18,07/01/2016,06/30/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
FLOWERS HOSPITAL,010055,AL,READM-30-HIP-KNEE-HRRP,555,,1.1033,4.1792,3.7879,25,07/01/2016,06/30/2019
FLOWERS HOSPITAL,010055,AL,READM-30-CABG-HRRP,N/A,,0.9551,10.8968,11.4087,Too Few to Report,07/01/2016,06/30/2019
FLOWERS HOSPITAL,010055,AL,READM-30-COPD-HRRP,388,,1.0496,19.7917,18.8569,81,07/01/2016,06/30/2019
FLOWERS HOSPITAL,010055,AL,READM-30-AMI-HRRP,319,,0.8552,12.1028,14.1514,30,07/01/2016,06/30/2019
FLOWERS HOSPITAL,010055,AL,READM-30-HF-HRRP,546,,0.9799,20.5687,20.9900,111,07/01/2016,06/30/2019
FLOWERS HOSPITAL,010055,AL,READM-30-PN-HRRP,531,,1.0014,15.4240,15.4018,82,07/01/2016,06/30/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-COPD-HRRP,306,,0.9815,18.8320,19.1874,56,07/01/2016,06/30/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HF-HRRP,466,,0.9354,19.5927,20.9463,87,07/01/2016,06/30/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-PN-HRRP,594,,1.0024,15.7970,15.7592,94,07/01/2016,06/30/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-AMI-HRRP,233,,0.9942,15.5937,15.6845,36,07/01/2016,06/30/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HIP-KNEE-HRRP,1611,,1.0877,3.8771,3.5644,64,07/01/2016,06/30/2019
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-CABG-HRRP,102,,1.1132,14.1572,12.7179,17,07/01/2016,06/30/2019
BIBB MEDICAL CENTER,010058,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
BIBB MEDICAL CENTER,010058,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
